Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,1,1,    49.6,    24.6,    32.4,    37.2,    25.6,    28.8,    24.2,     9.6,    35.2
Changi,2024,1,2,     0.4,     0.4,     0.4,     0.4,    27.3,    32.0,    24.7,    12.1,    40.7
Changi,2024,1,3,     8.8,     8.2,     8.8,     8.8,    27.1,    31.5,    24.5,    10.0,    35.2
Changi,2024,1,4,    80.6,    17.6,    22.4,    31.6,    24.8,    26.3,    23.4,    10.8,    31.5
Changi,2024,1,5,     4.2,     3.0,     3.0,     3.4,    26.6,    29.7,    24.4,    14.4,    46.3
Changi,2024,1,6,     0.6,     0.6,     0.6,     0.6,    27.6,    31.2,    25.4,    10.7,    31.5
Changi,2024,1,7,    64.0,    12.8,    16.4,    26.0,    24.5,    26.9,    23.2,     8.3,    33.3
Changi,2024,1,8,     0.0,     0.0,     0.0,     0.0,    26.7,    31.4,    23.4,     9.6,    31.5
Changi,2024,1,9,     2.6,     0.8,     1.0,     1.0,    26.7,    30.4,    24.6,    10.6,    35.2
Changi,2024,1,10,    63.2,    19.0,    29.6,    45.8,    26.3,    29.3,    24.3,     9.4,    53.7
Changi,2024,1,11,     0.0,     0.0,     0.0,     0.0,    27.4,    30.0,    25.4,    13.2,    37.0
Changi,2024,1,12,    12.4,     5.6,     6.0,     6.4,    25.3,    26.9,    23.4,    10.9,    42.6
Changi,2024,1,13,     0.0,     0.0,     0.0,     0.0,    27.0,    31.0,    24.4,     8.3,    38.9
Changi,2024,1,14,     0.0,     0.0,     0.0,     0.0,    27.6,    31.1,    25.7,    12.1,    35.2
Changi,2024,1,15,     0.4,     0.2,     0.2,     0.2,    27.8,    31.3,    25.5,    15.1,    46.3
Changi,2024,1,16,    20.6,    11.6,    14.8,    17.8,    26.6,    30.4,    23.9,    11.6,    38.9
Changi,2024,1,17,     5.6,     4.2,     4.4,     4.6,    27.4,    31.2,    24.8,    18.5,    57.4
Changi,2024,1,18,     0.4,     0.2,     0.2,     0.2,    27.0,    29.9,    25.5,    12.2,    50.0
Changi,2024,1,19,    17.0,     5.2,     7.0,    10.8,    26.3,    30.7,    23.7,     9.3,    42.6
Changi,2024,1,20,    23.4,     4.6,     6.6,     8.6,    24.5,    26.1,    23.3,     9.0,    31.5
Changi,2024,1,21,    13.4,    10.6,    12.8,    13.4,    26.9,    32.3,    23.4,    10.5,    35.2
Changi,2024,1,22,     0.0,     0.0,     0.0,     0.0,    27.6,    31.5,    24.8,    11.1,    29.6
Changi,2024,1,23,    43.4,    35.6,    43.0,    43.4,    27.0,    32.9,    23.8,     9.9,    57.4
Changi,2024,1,24,    34.0,    13.8,    19.4,    24.8,    26.7,    30.4,    23.9,    11.9,    37.0
Changi,2024,1,25,    54.6,    29.4,    42.0,    48.6,    25.7,    30.2,    23.8,    11.0,    37.0
Changi,2024,1,26,     0.0,     0.0,     0.0,     0.0,    28.0,    31.6,    25.4,    20.3,    48.2
Changi,2024,1,27,     0.0,     0.0,     0.0,     0.0,    28.2,    31.2,    26.7,    20.4,    44.4
Changi,2024,1,28,     0.4,     0.2,     0.4,     0.4,    27.8,    31.4,    25.4,    18.1,    46.3
Changi,2024,1,29,     0.0,     0.0,     0.0,     0.0,    28.0,    31.2,    26.2,    19.6,    46.3
Changi,2024,1,30,     0.0,     0.0,     0.0,     0.0,    27.8,    31.6,    25.6,    15.6,    37.0
Changi,2024,1,31,     0.0,     0.0,     0.0,     0.0,    27.7,    32.0,    25.5,    16.1,    40.7
