Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,7,1,     0.0,     0.0,     0.0,     0.0,    28.0,    32.1,    25.3,     6.6,    33.3
Changi,2024,7,2,     1.6,     0.6,     0.8,     1.6,    29.1,    31.4,    26.9,     8.6,    25.9
Changi,2024,7,3,     4.2,     3.2,     4.2,     4.2,    29.1,    32.6,    25.4,    12.0,    37.0
Changi,2024,7,4,     0.0,     0.0,     0.0,     0.0,    29.6,    32.3,    27.5,    13.5,    48.2
Changi,2024,7,5,     0.0,     0.0,     0.0,     0.0,    29.1,    32.9,    27.0,     7.7,    35.2
Changi,2024,7,6,     1.6,     1.6,     1.6,     1.6,    28.5,    31.3,    26.2,     8.9,    27.8
Changi,2024,7,7,     0.4,     0.2,     0.2,     0.2,    28.2,    31.3,    25.8,     8.3,    27.8
Changi,2024,7,8,     6.4,     1.8,     3.4,     4.8,    27.2,    31.2,    25.9,     6.4,    33.3
Changi,2024,7,9,    11.2,    10.4,    10.8,    11.2,    27.9,    30.4,    24.6,     9.6,    51.9
Changi,2024,7,10,     0.0,     0.0,     0.0,     0.0,    28.8,    31.5,    26.9,    10.7,    42.6
Changi,2024,7,11,     0.4,     0.4,     0.4,     0.4,    29.0,    30.9,    27.6,    15.6,    40.7
Changi,2024,7,12,    10.4,     8.2,     8.2,     8.6,    27.4,    31.4,    23.4,     9.5,    37.0
Changi,2024,7,13,     0.0,     0.0,     0.0,     0.0,    28.7,    32.3,    25.3,    11.8,    37.0
Changi,2024,7,14,     0.6,     0.6,     0.6,     0.6,    29.2,    32.1,    27.5,    13.2,    38.9
Changi,2024,7,15,     0.0,     0.0,     0.0,     0.0,    29.4,    32.0,    27.7,    14.8,    37.0
Changi,2024,7,16,     0.0,     0.0,     0.0,     0.0,    29.4,    32.1,    27.8,    15.9,    40.7
Changi,2024,7,17,     0.0,     0.0,     0.0,     0.0,    29.3,    31.4,    27.8,    13.9,    37.0
Changi,2024,7,18,     0.0,     0.0,     0.0,     0.0,    29.8,    32.7,    27.6,    16.6,    38.9
Changi,2024,7,19,     0.0,     0.0,     0.0,     0.0,    29.9,    32.5,    28.3,    17.3,    38.9
Changi,2024,7,20,     0.0,     0.0,     0.0,     0.0,    30.0,    32.8,    28.3,    16.4,    38.9
Changi,2024,7,21,     0.0,     0.0,     0.0,     0.0,    30.0,    33.0,    28.5,    17.1,    40.7
Changi,2024,7,22,     0.0,     0.0,     0.0,     0.0,    30.1,    32.8,    28.5,    16.6,    40.7
Changi,2024,7,23,     0.0,     0.0,     0.0,     0.0,    30.0,    33.2,    28.3,    15.2,    38.9
Changi,2024,7,24,     0.0,     0.0,     0.0,     0.0,    29.9,    32.8,    28.3,    14.8,    37.0
Changi,2024,7,25,     0.0,     0.0,     0.0,     0.0,    29.9,    32.8,    28.0,    16.1,    38.9
Changi,2024,7,26,     0.0,     0.0,     0.0,     0.0,    30.0,    33.2,    28.1,    17.1,    42.6
Changi,2024,7,27,     0.0,     0.0,     0.0,     0.0,    30.1,    33.5,    28.3,    17.5,    44.4
Changi,2024,7,28,     0.0,     0.0,     0.0,     0.0,    30.0,    33.5,    28.3,    18.5,    40.7
Changi,2024,7,29,     0.0,     0.0,     0.0,     0.0,    30.1,    33.4,    28.3,    17.2,    40.7
Changi,2024,7,30,     0.0,     0.0,     0.0,     0.0,    30.0,    33.5,    27.0,    14.7,    42.6
Changi,2024,7,31,     0.0,     0.0,     0.0,     0.0,    29.2,    33.7,    26.5,    13.3,    33.3
