Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,5,1,     5.6,     4.2,     4.4,     4.4,    30.1,    34.0,    26.0,    10.3,    37.0
Changi,2024,5,2,     0.4,     1.6,     4.6,     4.8,    29.1,    33.0,    26.8,     6.0,    37.0
Changi,2024,5,3,     0.0,     0.0,     0.0,     0.0,    29.8,    32.3,    27.7,    10.3,    29.6
Changi,2024,5,4,    85.4,    35.6,    48.2,    58.0,    26.7,    29.7,    24.4,     6.5,    37.0
Changi,2024,5,5,     0.0,     0.0,     0.0,     0.0,    29.6,    33.1,    26.2,     9.2,    27.8
Changi,2024,5,6,     0.0,     0.0,     0.0,     0.0,    30.3,    33.6,    28.2,    11.7,    38.9
Changi,2024,5,7,    35.0,    26.2,    27.8,    27.8,    28.3,    32.2,    25.0,     6.0,    50.0
Changi,2024,5,8,     0.6,     0.4,     0.4,     0.4,    28.4,    30.4,    25.9,     7.6,    35.2
Changi,2024,5,9,     0.0,     0.0,     0.0,     0.0,    30.0,    33.3,    27.2,     9.0,    27.8
Changi,2024,5,10,     0.4,     0.4,     0.4,     0.4,    29.8,    32.4,    26.5,     9.7,    57.4
Changi,2024,5,11,     0.6,     0.6,     0.6,     0.6,    29.8,    33.9,    27.5,     9.0,    35.2
Changi,2024,5,12,     0.4,     0.4,     0.4,     0.4,    29.6,    33.1,    27.9,     9.6,    38.9
Changi,2024,5,13,     3.8,     2.8,     3.0,     3.0,    28.8,    32.8,    26.4,     6.4,    33.3
Changi,2024,5,14,    23.0,    22.2,    23.0,    23.0,    28.8,    33.9,    25.1,     6.7,    50.0
Changi,2024,5,15,     0.0,     0.0,     0.0,     0.0,    29.5,    33.6,    27.8,     8.3,    37.0
Changi,2024,5,16,     7.0,     3.0,     3.2,     3.2,    28.1,    30.8,    25.4,     7.6,    44.4
Changi,2024,5,17,     0.4,     0.4,     0.4,     0.4,    29.3,    32.8,    26.3,     8.0,    37.0
Changi,2024,5,18,     0.8,     0.8,     0.8,     0.8,    29.3,    33.2,    27.3,     8.3,    44.4
Changi,2024,5,19,     0.4,     0.2,     0.2,     0.2,    29.4,    33.0,    28.1,    11.6,    44.4
Changi,2024,5,20,    27.2,    21.6,    23.2,    23.2,    28.1,    30.1,    25.6,     9.9,    42.6
Changi,2024,5,21,     2.6,     2.6,     2.6,     2.6,    28.9,    31.5,    26.6,     9.7,    42.6
Changi,2024,5,22,     4.0,     1.8,     2.4,     2.4,    28.0,    29.8,    26.6,     5.9,    35.2
Changi,2024,5,23,     3.6,     1.6,     2.6,     3.4,    28.4,    32.9,    25.7,     7.4,    33.3
Changi,2024,5,24,     3.4,     1.4,     2.4,     3.2,    28.2,    31.7,    24.9,     6.4,    37.0
Changi,2024,5,25,    20.0,    10.6,    10.8,    10.8,    28.0,    31.4,    24.4,     5.9,    53.7
Changi,2024,5,26,     0.0,     0.0,     0.0,     0.0,    29.5,    32.3,    27.1,     8.0,    29.6
Changi,2024,5,27,     0.0,     0.0,     0.0,     0.0,    30.3,    33.2,    28.5,    11.2,    44.4
Changi,2024,5,28,     0.2,     0.2,     0.2,     0.2,    29.8,    32.3,    26.1,     9.9,    61.1
Changi,2024,5,29,     0.0,     0.0,     0.0,     0.0,    30.3,    34.1,    27.7,    10.2,    38.9
Changi,2024,5,30,     0.6,     0.6,     0.6,     0.6,    29.7,    31.9,    26.7,    11.2,    51.9
Changi,2024,5,31,     1.0,     1.0,     1.0,     1.0,    29.2,    31.6,    26.3,     7.3,    35.2
