Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,9,1,     0.0,     0.0,     0.0,     0.0,    29.6,    33.0,    26.6,    11.4,    33.3
Changi,2024,9,2,     0.0,     0.0,     0.0,     0.0,    30.1,    33.4,    28.1,    14.7,    38.9
Changi,2024,9,3,     0.8,     0.6,     0.6,     0.6,    29.3,    32.2,    26.6,    11.0,    38.9
Changi,2024,9,4,    14.0,     4.4,     6.6,    12.2,    27.4,    30.6,    23.9,    11.7,    50.0
Changi,2024,9,5,     0.0,     0.0,     0.0,     0.0,    28.8,    32.7,    25.6,     9.8,    35.2
Changi,2024,9,6,     0.8,     0.4,     0.8,     0.8,    29.4,    32.5,    27.8,    13.2,    38.9
Changi,2024,9,7,     0.0,     0.0,     0.0,     0.0,    30.1,    33.9,    28.1,    18.4,    55.6
Changi,2024,9,8,     0.6,     0.6,     0.6,     0.6,    28.6,    31.9,    25.3,    10.0,    46.3
Changi,2024,9,9,     1.6,     0.8,     1.0,     1.0,    28.0,    33.2,    26.5,     8.8,    31.5
Changi,2024,9,10,     6.8,     2.8,     3.6,     6.2,    27.9,    31.4,    23.8,    11.1,    46.3
Changi,2024,9,11,     2.0,     2.0,     2.0,     2.0,    28.8,    32.5,    26.6,     8.6,    29.6
Changi,2024,9,12,     0.0,     0.0,     0.0,     0.0,    28.6,    31.3,    26.0,    15.3,    37.0
Changi,2024,9,13,     0.0,     0.0,     0.0,     0.0,    29.6,    32.7,    27.5,    13.4,    35.2
Changi,2024,9,14,    30.6,    15.4,    21.8,    24.4,    27.7,    30.9,    23.3,    12.1,    53.7
Changi,2024,9,15,     8.4,     6.8,     7.6,     8.2,    27.9,    30.2,    25.4,     7.4,    40.7
Changi,2024,9,16,     0.0,     0.0,     0.0,     0.0,    29.0,    32.6,    26.7,    13.0,    33.3
Changi,2024,9,17,     9.2,     8.0,     9.2,     9.2,    29.1,    33.3,    24.0,    14.6,    75.9
Changi,2024,9,18,     0.2,     0.2,     0.2,     0.2,    29.1,    32.9,    25.7,    13.7,    46.3
Changi,2024,9,19,     1.2,     1.2,     1.2,     1.2,    29.2,    32.4,    25.5,    12.4,    38.9
Changi,2024,9,20,     7.8,     7.8,     7.8,     7.8,    29.4,    32.3,    23.7,    14.0,    61.1
Changi,2024,9,21,    20.6,    22.6,    26.0,    27.4,    27.7,    30.3,    24.4,     6.7,    37.0
Changi,2024,9,22,     0.0,     0.0,     0.0,     0.0,    29.9,    33.9,    26.9,     9.6,    33.3
Changi,2024,9,23,     0.0,     0.0,     0.0,     0.0,    29.5,    33.8,    26.6,    11.9,    53.7
Changi,2024,9,24,     0.8,     0.6,     0.6,     0.8,    28.3,    33.0,    26.6,     7.3,    35.2
Changi,2024,9,25,     3.6,     2.8,     3.4,     3.6,    27.5,    32.2,    25.5,     6.7,    35.2
Changi,2024,9,26,    12.6,     6.8,     9.4,    12.4,    26.9,    29.5,    23.4,     8.5,    51.9
Changi,2024,9,27,     0.0,     0.0,     0.0,     0.0,    28.5,    32.8,    25.6,     9.1,    33.3
Changi,2024,9,28,     0.0,     0.0,     0.0,     0.0,    29.3,    33.5,    26.6,    10.3,    42.6
Changi,2024,9,29,     0.0,     0.0,     0.0,     0.0,    29.0,    32.3,    27.2,     8.1,    27.8
Changi,2024,9,30,     0.8,     0.4,     0.6,     0.6,    28.5,    32.5,    26.5,     8.9,    37.0
