Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,4,1,     0.0,     0.0,     0.0,     0.0,    29.4,    33.1,    27.0,     9.3,    25.9
Changi,2024,4,2,     0.0,     0.0,     0.0,     0.0,    30.7,    34.9,    27.8,    11.2,    33.3
Changi,2024,4,3,     0.0,     0.0,     0.0,     0.0,    30.2,    33.9,    28.3,    10.7,    37.0
Changi,2024,4,4,     1.4,     1.4,     1.4,     1.4,    28.9,    34.6,    26.6,     7.8,    37.0
Changi,2024,4,5,     0.0,     0.0,     0.0,     0.0,    29.7,    34.9,    26.5,    11.7,    33.3
Changi,2024,4,6,     0.0,     0.0,     0.0,     0.0,    30.1,    34.7,    26.8,    13.0,    37.0
Changi,2024,4,7,     0.0,     0.0,     0.0,     0.0,    30.5,    35.6,    27.8,    14.7,    37.0
Changi,2024,4,8,     1.2,     1.0,     1.0,     1.2,    29.7,    34.7,    26.6,     7.8,    37.0
Changi,2024,4,9,     0.0,     0.0,     0.0,     0.0,    30.7,    35.8,    27.4,    12.3,    37.0
Changi,2024,4,10,     6.0,     4.6,     5.0,     5.0,    28.7,    33.0,    25.9,     9.8,    61.1
Changi,2024,4,11,     8.6,     4.4,     4.4,     4.4,    28.9,    33.1,    25.3,    14.6,    40.7
Changi,2024,4,12,    79.2,    27.2,    41.0,    48.6,    25.9,    28.1,    24.2,     9.9,    35.2
Changi,2024,4,13,     0.0,     0.0,     0.0,     0.0,    29.3,    33.9,    25.6,    11.2,    33.3
Changi,2024,4,14,     1.2,     0.4,     0.6,     0.6,    28.3,    31.3,    26.6,     9.3,    37.0
Changi,2024,4,15,     0.0,     0.0,     0.0,     0.0,    28.8,    32.5,    26.9,    10.6,    31.5
Changi,2024,4,16,    31.0,    21.0,    26.2,    29.2,    27.3,    30.3,    24.6,     7.7,    44.4
Changi,2024,4,17,     2.2,     1.8,     2.2,     2.2,    28.0,    30.7,    25.7,     5.9,    44.4
Changi,2024,4,18,     3.2,     2.8,     3.2,     3.2,    28.8,    32.6,    26.0,     6.9,    33.3
Changi,2024,4,19,     0.0,     0.0,     0.0,     0.0,    29.3,    33.2,    26.9,     8.1,    27.8
Changi,2024,4,20,    53.0,    31.0,    34.0,    34.4,    28.0,    31.8,    24.2,     6.9,    55.6
Changi,2024,4,21,     0.2,     0.2,     0.2,     0.2,    29.1,    33.6,    26.8,     5.8,    29.6
Changi,2024,4,22,     0.0,     0.0,     0.0,     0.0,    29.7,    33.4,    27.2,     7.6,    31.5
Changi,2024,4,23,     0.4,     0.4,     0.4,     0.4,    30.2,    34.5,    28.0,     8.6,    33.3
Changi,2024,4,24,     0.6,     0.6,     0.6,     0.6,    30.1,    32.9,    27.8,     8.4,    38.9
Changi,2024,4,25,     0.0,     0.0,     0.0,     0.0,    30.2,    34.0,    28.4,     9.6,    40.7
Changi,2024,4,26,     0.2,     0.2,     0.2,     0.2,    30.1,    34.7,    27.4,     8.2,    31.5
Changi,2024,4,27,     0.0,     0.0,     0.0,     0.0,    30.6,    33.8,    28.2,     9.3,    29.6
Changi,2024,4,28,    16.4,    10.8,    16.4,    16.4,    29.5,    33.0,    24.5,     9.6,    51.9
Changi,2024,4,29,     0.0,     0.0,     0.0,     0.0,    30.2,    34.0,    27.3,     8.6,    33.3
Changi,2024,4,30,     0.0,-,     0.0,     0.0,    30.5,    33.7,    28.4,     9.8,    31.5
