Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,8,1,     0.0,     0.0,     0.0,     0.0,    28.8,    32.7,    25.7,     9.7,    44.4
Changi,2024,8,2,     0.0,     0.0,     0.0,     0.0,    29.1,    32.3,    27.5,     9.6,    46.3
Changi,2024,8,3,     3.0,     1.8,     3.0,     3.0,    29.6,    33.3,    27.5,    12.1,    44.4
Changi,2024,8,4,    32.4,    15.2,    17.2,    17.4,    27.3,    30.0,    23.8,     9.2,    40.7
Changi,2024,8,5,     0.8,     0.8,     0.8,     0.8,    28.2,    32.4,    25.4,    11.4,    37.0
Changi,2024,8,6,     0.0,     0.0,     0.0,     0.0,    29.3,    33.0,    27.0,    12.8,    38.9
Changi,2024,8,7,     1.2,     1.2,     1.2,     1.2,    29.2,    32.0,    27.7,    11.4,    40.7
Changi,2024,8,8,     1.2,     0.8,     1.2,     1.2,    29.5,    33.1,    26.6,    13.3,    35.2
Changi,2024,8,9,     4.0,     3.0,     3.0,     3.2,    28.8,    32.9,    25.3,    11.6,    51.9
Changi,2024,8,10,     4.8,     4.2,     4.2,     4.2,    27.4,    30.7,    25.5,     8.6,    35.2
Changi,2024,8,11,     0.8,     0.8,     0.8,     0.8,    28.7,    31.4,    26.6,    11.7,    31.5
Changi,2024,8,12,     0.4,     0.4,     0.4,     0.4,    29.1,    31.8,    26.9,    12.9,    44.4
Changi,2024,8,13,     0.0,     0.0,     0.0,     0.0,    29.7,    32.8,    28.1,    18.5,    44.4
Changi,2024,8,14,    17.4,     6.6,    11.4,    11.8,    27.5,    30.3,    25.2,     9.5,    46.3
Changi,2024,8,15,     0.0,     0.0,     0.0,     0.0,    28.4,    32.2,    25.9,    11.0,    44.4
Changi,2024,8,16,     0.0,     0.0,     0.0,     0.0,    28.9,    31.4,    27.5,    14.7,    42.6
Changi,2024,8,17,     0.6,     0.4,     0.4,     0.4,    28.5,    31.7,    26.4,    12.6,    44.4
Changi,2024,8,18,     0.0,     0.0,     0.0,     0.0,    29.1,    32.5,    27.5,    12.0,    35.2
Changi,2024,8,19,     0.2,     0.2,     0.2,     0.2,    29.4,    32.5,    27.2,    10.4,    35.2
Changi,2024,8,20,     0.4,     0.4,     0.4,     0.4,    28.0,    31.7,    24.9,     9.4,    44.4
Changi,2024,8,21,     0.0,     0.0,     0.0,     0.0,    28.2,    31.4,    25.8,     9.5,    40.7
Changi,2024,8,22,     0.0,     0.0,     0.0,     0.0,    29.4,    33.6,    27.0,     9.3,    44.4
Changi,2024,8,23,     0.0,     0.0,     0.0,     0.0,    29.0,    32.5,    27.1,    10.8,    42.6
Changi,2024,8,24,     5.6,     3.2,     4.0,     5.4,    26.8,    29.1,    24.9,    11.4,    37.0
Changi,2024,8,25,     1.6,     1.2,     1.6,     1.6,    27.3,    29.9,    24.2,     8.0,    59.3
Changi,2024,8,26,     0.0,     0.0,     0.0,     0.0,    29.0,    31.6,    26.7,     9.4,    31.5
Changi,2024,8,27,     0.4,     0.2,     0.4,     0.4,    28.9,    31.6,    25.5,    10.3,    46.3
Changi,2024,8,28,    11.0,     8.0,    10.0,    10.2,    28.2,    32.4,    24.0,    11.0,    37.0
Changi,2024,8,29,     0.0,     0.0,     0.0,     0.0,    28.8,    31.6,    25.7,    10.9,    38.9
Changi,2024,8,30,     0.0,     0.0,     0.0,     0.0,    29.3,    31.9,    27.8,    13.9,    38.9
Changi,2024,8,31,     0.0,     0.0,     0.0,     0.0,    29.2,    33.1,    26.8,    11.1,    33.3
