Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,2,1,     0.0,     0.0,     0.0,     0.0,    28.1,    31.9,    26.1,    17.2,    42.6
Changi,2024,2,2,     0.0,     0.0,     0.0,     0.0,    28.2,    31.5,    26.0,    16.0,    44.4
Changi,2024,2,3,     0.0,     0.0,     0.0,     0.0,    28.5,    32.6,    26.1,    15.5,    40.7
Changi,2024,2,4,     0.0,     0.0,     0.0,     0.0,    28.3,    32.7,    25.3,    14.7,    35.2
Changi,2024,2,5,     0.0,     0.0,     0.0,     0.0,    28.2,    32.7,    25.2,    14.9,    42.6
Changi,2024,2,6,    10.6,     6.4,    10.4,    10.6,    28.1,    32.9,    25.6,    12.6,    38.9
Changi,2024,2,7,     0.0,     0.0,     0.0,     0.0,    28.3,    32.6,    25.7,    14.1,    38.9
Changi,2024,2,8,     0.0,     0.0,     0.0,     0.0,    28.4,    33.1,    25.9,    12.9,    35.2
Changi,2024,2,9,     0.0,     0.0,     0.0,     0.0,    28.4,    32.6,    26.0,    13.7,    37.0
Changi,2024,2,10,     5.4,     2.0,     3.0,     4.6,    27.6,    32.3,    24.4,    15.4,    40.7
Changi,2024,2,11,    16.2,     7.2,    11.2,    15.8,    27.8,    31.8,    24.3,    17.2,    55.6
Changi,2024,2,12,    14.2,     5.4,     9.4,    10.8,    26.6,    30.2,    24.6,    14.9,    61.1
Changi,2024,2,13,     4.4,     1.8,     2.0,     2.2,    27.1,    30.1,    25.0,    17.0,    48.2
Changi,2024,2,14,     2.0,     1.2,     1.2,     1.6,    27.9,    31.7,    25.7,    16.5,    44.4
Changi,2024,2,15,     6.0,     5.0,     5.2,     5.2,    27.1,    30.6,    25.4,    15.7,    44.4
Changi,2024,2,16,     0.0,     0.0,     0.0,     0.0,    28.0,    31.8,    26.2,    18.2,    51.9
Changi,2024,2,17,     0.2,     0.2,     0.2,     0.2,    27.8,    31.4,    26.1,    14.9,    53.7
Changi,2024,2,18,     0.0,     0.0,     0.0,     0.0,    28.4,    32.3,    26.1,    15.4,    35.2
Changi,2024,2,19,     0.0,     0.0,     0.0,     0.0,    28.6,    32.5,    26.0,    15.2,    37.0
Changi,2024,2,20,     0.0,     0.0,     0.0,     0.0,    28.9,    33.0,    26.4,    14.9,    35.2
Changi,2024,2,21,     0.2,     0.2,     0.2,     0.2,    28.7,    33.4,    26.2,    13.3,    40.7
Changi,2024,2,22,     0.0,     0.0,     0.0,     0.0,    28.6,    32.2,    26.3,    12.1,    35.2
Changi,2024,2,23,     0.0,     0.0,     0.0,     0.0,    28.7,    32.3,    26.4,    16.3,    38.9
Changi,2024,2,24,     0.0,     0.0,     0.0,     0.0,    28.5,    31.9,    26.0,    16.6,    42.6
Changi,2024,2,25,     0.0,     0.0,     0.0,     0.0,    29.0,    33.2,    26.3,    17.2,    40.7
Changi,2024,2,26,     0.0,     0.0,     0.0,     0.0,    28.9,    32.9,    26.5,    20.5,    48.2
Changi,2024,2,27,     1.0,     1.0,     1.0,     1.0,    28.1,    30.9,    27.1,    14.9,    38.9
Changi,2024,2,28,     0.0,     0.0,     0.0,     0.0,    28.8,    32.6,    26.7,    19.8,    44.4
Changi,2024,2,29,     0.0,     0.0,     0.0,     0.0,    28.9,    33.4,    26.0,    17.7,    44.4
