Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,6,1,    33.6,    20.8,    26.2,    26.4,    26.9,    29.1,    23.0,     8.2,    40.7
Changi,2024,6,2,     6.2,     3.6,     4.8,     5.6,    27.4,    31.0,    25.1,     5.8,    27.8
Changi,2024,6,3,     0.0,     0.0,     0.0,     0.0,    28.6,    33.1,    25.9,     5.6,    27.8
Changi,2024,6,4,     0.0,     0.0,     0.0,     0.0,    29.4,    33.2,    26.8,     9.2,    27.8
Changi,2024,6,5,     0.0,     0.0,     0.0,     0.0,    30.2,    32.9,    27.9,    10.2,    27.8
Changi,2024,6,6,     3.0,     3.0,     3.0,     3.0,    28.8,    33.3,    25.0,     9.4,    42.6
Changi,2024,6,7,     0.2,     0.2,     0.2,     0.2,    28.9,    32.1,    26.6,     7.5,    31.5
Changi,2024,6,8,     0.0,     0.0,     0.0,     0.0,    29.0,    31.8,    27.7,     7.9,    31.5
Changi,2024,6,9,    14.4,    13.2,    14.4,    14.4,    29.1,    32.9,    24.6,     9.5,    38.9
Changi,2024,6,10,     0.0,     0.0,     0.0,     0.0,    29.1,    32.0,    27.5,     7.8,    37.0
Changi,2024,6,11,     0.2,     0.2,     0.2,     0.2,    29.3,    33.8,    25.7,     7.6,    37.0
Changi,2024,6,12,     6.4,     4.6,     6.2,     6.4,    28.7,    31.3,    26.6,     6.6,    25.9
Changi,2024,6,13,     2.0,     2.0,     2.0,     2.0,    29.5,    34.1,    26.6,     7.3,    24.1
Changi,2024,6,14,     0.0,     0.0,     0.0,     0.0,    28.9,    32.6,    27.2,     7.8,    29.6
Changi,2024,6,15,     1.4,     1.4,     1.4,     1.4,    28.9,    31.8,    26.2,     7.6,    40.7
Changi,2024,6,16,    12.6,     5.4,     6.6,     6.6,    28.0,    31.8,    23.7,     8.6,    37.0
Changi,2024,6,17,     0.0,     0.0,     0.0,     0.0,    29.3,    33.7,    27.1,    10.2,    53.7
Changi,2024,6,18,     0.0,     0.0,     0.0,     0.0,    28.8,    31.9,    26.6,     8.6,    38.9
Changi,2024,6,19,     1.2,     1.0,     1.2,     1.2,    28.7,    30.4,    27.1,     9.1,    44.4
Changi,2024,6,20,     1.4,     1.2,     1.2,     1.2,    29.1,    32.2,    26.1,    10.0,    29.6
Changi,2024,6,21,    80.2,    29.0,    39.4,    66.8,    27.3,    30.1,    22.6,    13.3,    46.3
Changi,2024,6,22,    27.6,     6.6,    11.8,    20.4,    26.3,    28.4,    23.2,    10.7,    68.5
Changi,2024,6,23,     0.0,     0.0,     0.0,     0.0,    28.6,    31.6,    25.9,    10.0,    35.2
Changi,2024,6,24,     6.6,     6.4,     6.6,     6.6,    29.4,    32.6,    25.4,    11.1,    46.3
Changi,2024,6,25,     0.0,     0.0,     0.0,     0.0,    30.0,    32.6,    27.6,    11.5,    42.6
Changi,2024,6,26,     0.0,     0.0,     0.0,     0.0,    30.0,    33.2,    27.9,    12.3,    38.9
Changi,2024,6,27,     0.0,     0.0,     0.0,     0.0,    28.5,    31.6,    26.9,     8.6,    31.5
Changi,2024,6,28,     2.0,     1.8,     2.0,     2.0,    28.7,    32.4,    25.1,     6.7,    38.9
Changi,2024,6,29,    10.8,     4.4,     7.0,    10.8,    28.4,    31.0,    24.4,     6.8,    31.5
Changi,2024,6,30,    35.6,    14.6,    17.8,    29.8,    26.7,    29.0,    23.7,     6.9,    46.3
