Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,3,1,     1.0,     1.0,     1.0,     1.0,    29.0,    33.4,    27.0,    15.4,    40.7
Changi,2024,3,2,     5.0,     2.2,     3.4,     3.4,    28.3,    32.8,    26.6,    13.2,    46.3
Changi,2024,3,3,    16.2,     6.0,     7.0,     7.2,    27.3,    30.5,    24.7,    14.4,    51.9
Changi,2024,3,4,    17.0,    11.0,    13.4,    14.2,    28.4,    32.4,    24.1,    14.0,    46.3
Changi,2024,3,5,    30.4,    17.2,    25.8,    28.8,    26.6,    31.4,    24.4,     7.1,    27.8
Changi,2024,3,6,     0.2,     0.2,     0.2,     0.2,    27.6,    33.9,    25.2,     6.9,    31.5
Changi,2024,3,7,    40.6,    35.4,    39.2,    40.6,    28.1,    33.2,    23.8,     8.4,    35.2
Changi,2024,3,8,    49.8,    44.4,    47.6,    49.6,    27.1,    31.9,    22.5,     7.0,    42.6
Changi,2024,3,9,     0.0,     0.0,     0.0,     0.0,    28.5,    32.8,    25.8,    11.2,    31.5
Changi,2024,3,10,     0.0,     0.0,     0.0,     0.0,    28.2,    32.1,    26.3,    14.0,    46.3
Changi,2024,3,11,     0.0,     0.0,     0.0,     0.0,    28.8,    32.3,    26.0,    15.1,    40.7
Changi,2024,3,12,     0.0,     0.0,     0.0,     0.0,    28.9,    32.7,    26.8,    15.0,    46.3
Changi,2024,3,13,     0.0,     0.0,     0.0,     0.0,    28.7,    33.1,    25.5,    16.4,    40.7
Changi,2024,3,14,     0.0,     0.0,     0.0,     0.0,    28.7,    32.9,    25.6,    16.7,    44.4
Changi,2024,3,15,     0.0,     0.0,     0.0,     0.0,    28.3,    31.9,    25.4,    14.0,    35.2
Changi,2024,3,16,     0.0,     0.0,     0.0,     0.0,    28.7,    33.1,    25.6,    14.4,    38.9
Changi,2024,3,17,     0.0,     0.0,     0.0,     0.0,    29.1,    33.2,    26.1,    16.7,    46.3
Changi,2024,3,18,     0.0,     0.0,     0.0,     0.0,    29.2,    33.6,    25.6,    15.7,    37.0
Changi,2024,3,19,     0.0,     0.0,     0.0,     0.0,    29.2,    33.4,    26.9,    18.3,    40.7
Changi,2024,3,20,     0.0,     0.0,     0.0,     0.0,    29.0,    32.5,    26.8,    19.8,    46.3
Changi,2024,3,21,     0.0,     0.0,     0.0,     0.0,    28.8,    32.4,    27.2,    17.7,    46.3
Changi,2024,3,22,     0.0,     0.0,     0.0,     0.0,    29.2,    33.3,    26.8,    16.0,    40.7
Changi,2024,3,23,     0.0,     0.0,     0.0,     0.0,    29.4,    34.2,    26.7,    14.5,    37.0
Changi,2024,3,24,     0.0,     0.0,     0.0,     0.0,    29.5,    34.1,    26.8,    15.2,    33.3
Changi,2024,3,25,     0.0,     0.0,     0.0,     0.0,    29.7,    34.5,    26.9,    14.4,    37.0
Changi,2024,3,26,     0.0,     0.0,     0.0,     0.0,    29.9,    34.3,    27.4,    16.2,    42.6
Changi,2024,3,27,     0.0,     0.0,     0.0,     0.0,    29.7,    34.9,    26.8,    14.5,    38.9
Changi,2024,3,28,     0.0,     0.0,     0.0,     0.0,    29.7,    34.7,    27.2,    12.6,    31.5
Changi,2024,3,29,     0.0,     0.0,     0.0,     0.0,    30.3,    35.2,    27.5,    14.3,    37.0
Changi,2024,3,30,     0.0,     0.0,     0.0,     0.0,    30.2,    34.9,    27.8,    12.6,    42.6
Changi,2024,3,31,     1.0,     0.8,     1.0,     1.0,    29.7,    34.8,    26.7,     8.2,    31.5
