Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,10,1,     2.8,     1.0,     1.4,     1.8,    27.9,    31.0,    25.7,     8.0,    37.0
Changi,2024,10,2,     0.0,     0.0,     0.0,     0.0,    29.1,    31.9,    26.9,     8.1,    37.0
Changi,2024,10,3,     8.0,     5.0,     5.8,     7.0,    28.4,    31.8,    24.6,     7.8,    40.7
Changi,2024,10,4,    13.0,     9.6,    12.8,    13.0,    27.8,    30.7,    24.1,     6.9,    37.0
Changi,2024,10,5,     0.0,     0.0,     0.0,     0.2,    27.9,    31.2,    25.2,     8.0,    42.6
Changi,2024,10,6,     7.6,     2.8,     4.8,     6.2,    27.9,    31.1,    24.2,     7.9,    35.2
Changi,2024,10,7,     0.0,     0.0,     0.0,     0.0,    28.3,    32.6,    26.3,     8.8,    35.2
Changi,2024,10,8,     0.6,     0.6,     0.6,     0.6,    28.1,    30.5,    25.6,     9.3,    46.3
Changi,2024,10,9,     0.2,     0.2,     0.2,     0.2,    28.4,    31.8,    26.5,     8.6,    37.0
Changi,2024,10,10,     0.0,     0.0,     0.0,     0.0,    28.6,    31.3,    26.4,     7.9,    38.9
Changi,2024,10,11,     2.6,     1.8,     2.2,     2.6,    28.2,    33.1,    26.2,     7.5,    29.6
Changi,2024,10,12,    15.0,    13.8,    14.8,    14.8,    27.1,    30.8,    24.1,     5.9,    31.5
Changi,2024,10,13,     0.2,     0.2,     0.2,     0.2,    28.3,    32.1,    25.5,     8.1,    31.5
Changi,2024,10,14,    66.0,    35.2,    51.2,    56.2,    25.9,    28.1,    23.3,     6.7,    40.7
Changi,2024,10,15,     0.0,     0.0,     0.0,     0.0,    28.3,    32.9,    25.5,    11.1,    42.6
Changi,2024,10,16,     0.6,     0.4,     0.6,     0.6,    28.4,    31.2,    25.2,     7.5,    59.3
Changi,2024,10,17,     6.6,     5.6,     6.2,     6.6,    27.5,    29.4,    24.3,     6.2,    50.0
Changi,2024,10,18,     0.0,     0.0,     0.0,     0.0,    27.5,    32.1,    25.1,     6.6,    29.6
Changi,2024,10,19,     0.0,     0.0,     0.0,     0.0,    28.1,    32.5,    26.1,     8.5,    29.6
Changi,2024,10,20,    18.6,     7.6,    13.0,    16.6,    27.1,    31.3,    22.4,     6.6,    55.6
Changi,2024,10,21,     0.0,     0.0,     0.0,     0.0,    29.6,    34.1,    26.9,     8.8,    27.8
Changi,2024,10,22,     0.2,     0.2,     0.2,     0.2,    29.6,    33.2,    27.3,    10.6,    29.6
Changi,2024,10,23,     0.0,     0.0,     0.0,     0.0,    29.6,    33.3,    27.4,     9.8,    40.7
Changi,2024,10,24,     0.0,     0.0,     0.0,     0.0,    28.3,    32.6,    25.9,     7.5,    37.0
Changi,2024,10,25,     0.0,     0.0,     0.0,     0.0,    29.0,    32.1,    26.1,     9.6,    37.0
Changi,2024,10,26,     0.0,     0.0,     0.0,     0.0,    30.0,    33.7,    27.6,    11.7,    37.0
Changi,2024,10,27,     0.0,     0.0,     0.0,     0.0,    30.7,    34.4,    27.6,    12.3,    38.9
Changi,2024,10,28,     0.0,     0.0,     0.0,     0.0,    30.0,    33.5,    28.2,    10.8,    35.2
Changi,2024,10,29,     0.0,     0.0,     0.0,     0.0,    30.0,    33.9,    27.4,     9.8,    37.0
Changi,2024,10,30,     0.0,     0.0,     0.0,     0.0,    30.0,    33.6,    27.0,     8.1,    27.8
Changi,2024,10,31,     5.6,     5.6,     5.6,     5.6,    29.2,    32.5,    25.3,     9.8,    48.2
